objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
Cascadia: Landmarks,385318,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,130717791,6.77412,7.76611,2.2254,0,15603,thing,Cascadia: Landmarks,1,6,45,45,30,2023,"1,2,3,4,5,6",2,8+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,,,,,,,,,,,
Everdell: Bellfaire,289057,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,105499592,7.14903,8.01817,2.6765,0,20035,thing,Everdell: Bellfaire,1,6,120,120,40,2019,"1,2,3,4",4,12+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,,,,,,,,,,,
Flamme Rouge: Peloton,229941,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,100569262,6.97477,8.08477,1.8333,0,10239,thing,Flamme Rouge: Peloton,1,12,45,45,30,2017,"1,2,3,4,5,6",4,8+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
Pandemic: On the Brink,40849,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,17978065,7.70082,8.03105,2.6531,0,53239,thing,Pandemic: On the Brink,2,5,45,45,45,2009,"1,2,3,4,5",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,,,,,,,,,,,
PARKS: Nightfall,298729,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81653852,7.1909,8.14914,2.2532,0,19301,thing,PARKS: Nightfall,1,5,70,70,40,2021,"1,2,3,4",3,10+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,,,,,,,,,,,
PARKS: Wildlife,358854,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,103537032,6.42452,7.95842,2.2632,0,8541,thing,PARKS: Wildlife,1,5,70,70,40,2022,"1,2,3,4","2,3",10+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,,,,,,,,,,,
Star Wars: Armada – The Corellian Conflict,204853,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,50544079,5.63037,7.61676,4,0,1369,thing,Star Wars: Armada – The Corellian Conflict,2,6,120,0,120,2016,"2,3,4,5,6","4,5,6",,,,,,,,expansion,,,,,,,,,,,,,,,
Thunder Road: Vendetta – Carnival of Chaos,415878,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,131195199,5.85047,8.1672,2.2,0,3721,thing,Thunder Road: Vendetta – Carnival of Chaos,2,5,0,0,0,2024,"3,4,5",4,10+,,,,,,,expansion,,,,,,,,,,,,,,,
Viticulture: Tuscany Essential Edition,202174,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,52467285,8.00511,8.54072,3.2584,0,31904,thing,Viticulture: Tuscany Essential Edition,1,6,150,150,60,2016,"1,2,3,4,5,6",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,,,,,,,,,,,
Agatha Christie: Death on the Cards,281206,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,93608828,5.58655,6.16775,1.6923,9892,1626,thing,Agatha Christie: Death on the Cards,2,6,40,40,20,2019,"3,4,5,6",6,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Ambush!,1608,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,10837421,6.48326,7.52147,3.2553,1326,5281,thing,Ambush!,1,1,240,240,180,1983,1,1,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Android: Netrunner,124742,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,26209509,7.65422,7.89078,3.413,82,46969,thing,Android: Netrunner,2,2,45,45,45,2012,2,2,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Apples to Apples,74,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,27653950,5.629,5.74169,1.1532,7917,30888,thing,Apples to Apples,4,10,30,30,20,1999,"4,5,6,7,8,9,10","6,7,8",8+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Aquarius,814,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,10838927,5.71822,6.07194,1.1346,5785,3299,thing,Aquarius,2,5,30,30,10,1998,"2,3,4,5","3,4",5+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Axis & Allies,98,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,10837418,6.28047,6.58268,3.0369,1887,16593,thing,Axis & Allies,2,5,180,180,180,1981,"2,3,4,5","2,5",12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Axis & Allies: Europe,520,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,10837419,5.96342,6.50883,2.8413,3324,4572,thing,Axis & Allies: Europe,2,4,210,210,210,1999,"2,3,4",2,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Axis & Allies: Pacific,1262,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,10837420,5.98103,6.6707,2.875,3219,3593,thing,Axis & Allies: Pacific,2,3,240,240,240,2001,"2,3",2,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Azul,230802,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,50826833,7.61189,7.722,1.7734,92,172700,thing,Azul,2,4,45,45,30,2017,"2,3,4",2,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Back to the Future: An Adventure Through Time,184460,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,61384083,5.52024,5.77559,2.2857,18733,849,thing,Back to the Future: An Adventure Through Time,2,4,30,30,30,2016,"2,3,4",3,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Back to the Future: The Card Game,71676,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,11913979,5.57231,5.78119,1.7424,10840,2583,thing,Back to the Future: The Card Game,2,6,60,60,20,2010,"2,3,4,5,6",4,8+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
BANG!,3955,0,0,2,1,0,0,0,0,0,0,0,3,,,,,,10547790,6.32149,6.48714,1.6331,1762,45169,thing,BANG!,4,7,40,40,20,2002,"5,6,7",7,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Battleball,6795,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,10837396,5.86222,6.28268,1.5103,4075,4027,thing,Battleball,2,2,45,45,45,2003,2,2,6+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
BattleTech: A Game of Armored Combat,296694,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,100079680,6.02363,8.27951,3.7917,2970,2207,thing,BattleTech: A Game of Armored Combat,2,2,120,120,120,2019,2,2,12+,,,,,,,standalone,,,,,,,,,,,,,,,
Beez,299592,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,77691253,6.03556,6.69736,1.7895,2909,4732,thing,Beez,2,4,45,45,30,2020,"2,3,4",3,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Bison Dice Game,356065,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,120762902,0,4,0,0,5,thing,Bison Dice Game,2,99,0,0,0,2007,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Black Gold,93724,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,21448790,5.93658,6.7789,2.5797,3508,2325,thing,Black Gold,2,5,120,120,120,2011,"3,4,5",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Black Sheep,36739,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,21448795,5.63918,5.92926,1.4286,7603,2245,thing,Black Sheep,2,4,30,30,30,2008,"2,3,4",4,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Blockbuster,272438,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,65597676,5.90724,6.55356,1.0476,3712,5366,thing,Blockbuster,4,10,60,60,30,2019,"6,7,8,9,10","6,8",14+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Blood Bowl: Team Manager – The Card Game,90137,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,18368117,7.05068,7.39952,2.3478,438,15359,thing,Blood Bowl: Team Manager – The Card Game,2,4,120,120,60,2011,"2,3,4",4,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Blue Max: World War I Air Combat,158982,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,25729184,5.63307,6.61021,2.2609,7776,1278,thing,Blue Max: World War I Air Combat,2,6,90,90,90,2013,"2,3,4,6","4,6",10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Bob Ross: Art of Chill Game,231696,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,56942550,6.15365,6.74443,1.8,2360,6456,thing,Bob Ross: Art of Chill Game,2,4,30,30,30,2017,"2,3,4",3,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Bohnanza,11,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,12551008,6.95864,7.0765,1.6677,541,80213,thing,Bohnanza,2,7,45,45,45,1997,"3,4,5,6,7","4,5",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Bottom of the 9th,166286,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,36351625,6.11763,6.71278,1.7436,2525,5697,thing,Bottom of the 9th,1,2,20,20,5,2015,"1,2",2,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Build a Robot,64412,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,50543937,0,4.375,1,0,52,thing,Build a Robot,2,4,10,10,10,2008,,,3–6,,,,,,,standalone,,,,,,,,,,,,,,,
Cafe Chaos,316625,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,112856025,5.53036,6.31858,1.7143,16084,629,thing,Cafe Chaos,3,8,60,60,30,2021,"3,4,5,6,7,8",4,6+,,,,,,,standalone,,,,,,,,,,,,,,,
Calico,283155,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,131195203,7.2536,7.49369,2.1954,260,39502,thing,Calico,1,4,45,45,30,2020,"1,2,3,4",2,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Camel Up (Second Edition),260605,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,64326071,7.25175,7.55229,1.5056,262,28451,thing,Camel Up (Second Edition),3,8,45,45,30,2018,"3,4,5,6,7,8","5,6",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Car Wars (Sixth Edition),291828,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,94108205,5.67974,8.01998,2.375,6570,830,thing,Car Wars (Sixth Edition),2,4,180,180,60,2021,"2,3,4",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Car Wars Two-Player Starter Set: Orange/Purple,425496,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,130045468,0,6.5,4,0,38,thing,Car Wars Two-Player Starter Set: Orange/Purple,2,2,0,0,0,2024,2,2,12,,,,,,,standalone,,,,,,,,,,,,,,,
Car Wars: The Card Game,1126,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,10837412,5.48713,5.49799,1.411,27142,1746,thing,Car Wars: The Card Game,2,6,60,60,60,1991,"2,3,4,5,6","4,5,6",8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Cascadia,295947,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,93567863,7.74498,7.90463,1.8478,56,84884,thing,Cascadia,1,4,45,45,30,2021,"1,2,3,4","2,3",8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
CATAN,13,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,10837390,6.90653,7.09091,2.2854,603,230147,thing,CATAN,3,4,120,120,60,1995,"3,4",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Choose Your Own Adventure: House of Danger,251420,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,61384183,5.89099,6.22056,1.1967,3844,10452,thing,Choose Your Own Adventure: House of Danger,1,99,60,60,60,2018,"1,2,3",1,8+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Choose Your Own Adventure: War with the Evil Power Master,278297,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,93544022,5.62019,6.03539,1.4167,8240,3572,thing,Choose Your Own Adventure: War with the Evil Power Master,1,99,60,60,60,2019,"1,2,3",1,10+,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
Chutes and Ladders,5432,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,50543942,3.68544,2.93396,1.071,29525,6661,thing,Chutes and Ladders,2,6,30,30,30,-200,"2,3,4,5,6",4,3–8,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Circus Maximus,244,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,10837413,6.01339,6.7791,2.6168,3018,3186,thing,Circus Maximus,2,10,120,120,120,1979,"4,5,6,7,8,9","6,7,8",12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Clue,1294,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,57155147,5.57092,5.68332,1.6424,10937,41271,thing,Clue,2,6,45,45,45,1949,"3,4,5,6","4,5",8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Codenames: Duet,224037,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,55713219,7.24024,7.41512,1.3581,267,53587,thing,Codenames: Duet,2,2,30,30,15,2017,2,2,12+,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
Cranium,891,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,27654149,5.57312,5.68293,1.4149,10783,20376,thing,Cranium,4,99,60,60,60,1998,"4,5,6,7,8,9,10,11,12,14,16,18,19,20",8,10+,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
"D6: Dungeons, Dudes, Dames, Danger, Dice and Dragons!",262274,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,98884667,5.72926,7.44884,2.4167,5623,1285,thing,"D6: Dungeons, Dudes, Dames, Danger, Dice and Dragons!",1,4,90,90,90,2020,"1,2,3,4",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Descent: Legends of the Dark,322708,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,98884734,7.02133,7.90752,2.697,466,12040,thing,Descent: Legends of the Dark,1,4,180,180,120,2021,"1,2,3,4",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Destinies,285192,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,98884649,7.09758,7.67194,1.9275,392,18020,thing,Destinies,1,3,150,150,90,2021,"1,2,3",2,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Dogfight: Free Trial Version,125058,0,0,2,1,0,0,0,0,0,0,0,3,,,,,,15904395,0,6,2,0,6,thing,Dogfight: Free Trial Version,2,4,20,20,20,2012,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Dominion (Second Edition),209418,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,131225620,7.39398,7.82637,2.1742,178,18524,thing,Dominion (Second Edition),2,6,30,30,30,2016,"2,3,4,5,6","2,3",8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Doomlings,324413,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,117761823,6.00116,6.77473,1.6724,3099,7057,thing,Doomlings,2,6,45,45,20,2022,"2,3,4,5,6",4,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Everdell: Collector's Edition,319422,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,100063446,7.00551,8.50229,2.8036,0,7037,thing,Everdell: Collector's Edition,1,4,80,80,40,2018,"1,2,3,4",3,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Falling,75,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,10838948,5.4896,5.5027,1.218,26808,2537,thing,Falling,4,8,5,5,5,2008,"4,5,6,7,8",6,6+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Finspan,436126,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,129311368,6.89232,7.69776,2.3231,621,10722,thing,Finspan,1,5,60,60,45,2025,"1,2,3,4","2,3",10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Flamme Rouge,199478,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86234340,7.21971,7.47971,1.6986,283,25012,thing,Flamme Rouge,2,4,45,45,30,2016,"2,3,4",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,Paizo Publishing; Titanic Games,English,2008,Paizo / Titanic Goblin edition
Flapjacks & Sasquatches,39862,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,10837425,5.55588,6.0534,1.5,12248,880,thing,Flapjacks & Sasquatches,2,8,20,20,20,2008,"2,3,4,5,6,7,8",4,6+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Flash Point: Fire Rescue,100901,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,18729900,6.97186,7.14767,2.1976,519,40275,thing,Flash Point: Fire Rescue,2,6,45,45,45,2011,"1,2,3,4,5,6",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Forbidden Island,65244,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,12622221,6.64342,6.75221,1.7385,1001,98549,thing,Forbidden Island,2,4,30,30,30,2010,"1,2,3,4",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Formula D,37904,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,52349837,6.79587,6.99234,1.9674,743,27903,thing,Formula D,2,10,60,60,60,2008,"3,4,5,6,7,8,9,10","5,6,7,8",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Friday,43570,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,27653894,6.93072,7.11273,2.1536,572,40784,thing,Friday,1,1,25,25,25,2011,1,1,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Gloom,12692,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,61384171,6.14563,6.32979,1.6269,2397,34506,thing,Gloom,2,5,60,60,60,2005,"2,3,4",4,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Go Nuts!,34375,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,10838979,5.70881,6.36578,1.0566,5954,2086,thing,Go Nuts!,2,4,15,15,15,2008,"2,3,4",3,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Great Western Trail: Second Edition,341169,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,88944566,7.90526,8.27896,3.7031,31,23820,thing,Great Western Trail: Second Edition,1,4,150,150,75,2021,"1,2,3,4",3,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Guesstures,2379,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,27653957,5.66432,5.92187,1.177,6929,5070,thing,Guesstures,4,99,10,10,10,1990,"4,5,6,7,8,9,10,11,12,13,14","6,8,10,12",6+,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
Harry Potter and the Sorcerer's Stone: Trivia Game,5750,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,27654181,5.45853,5.31163,1.4,28793,1394,thing,Harry Potter and the Sorcerer's Stone: Trivia Game,2,6,60,60,60,2000,"3,4,5,6",4,10–14,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
Harry Potter Trading Card Game,3495,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,27654174,5.68795,6.17877,1.962,6378,2199,thing,Harry Potter Trading Card Game,2,2,20,20,20,2001,2,2,8+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Heat: Pedal to the Metal,366013,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,98886953,7.79474,8.00856,2.2037,45,53101,thing,Heat: Pedal to the Metal,1,6,60,60,30,2022,"1,2,3,4,5,6","5,6",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
In a Pickle,12205,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,61384215,5.13202,4.67796,1.2088,29481,4488,thing,In a Pickle,2,6,30,30,20,2004,"3,4,5,6","4,5,6",6+,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
Inn-Fighting,29198,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,61384145,5.60329,5.9079,1.5437,8985,2172,thing,Inn-Fighting,3,6,30,30,30,2007,"3,4,5,6","4,5",10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Input,1291,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,19629671,5.50822,5.678,1.8,22457,413,thing,Input,2,2,20,20,20,1984,2,2,,,,,,,,standalone,,,,,,,,,,,,,,,
