objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
Isla Dorada,68182,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,21448785,6.12084,6.71204,2.16,2508,3360,thing,Isla Dorada,3,6,90,90,60,2010,"3,4,5,6","4,5",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Junior Trivia,9682,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,27654093,0,4.49091,1,0,61,thing,Junior Trivia,2,10,45,45,45,1983,,,,,,,,,,standalone,,,,,,,,,,,,,,,
King of Tokyo,70323,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,18866007,7.01386,7.11851,1.4853,473,109508,thing,King of Tokyo,2,6,30,30,30,2011,"3,4,5,6","4,5",6+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Kingdoms,119,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,31736879,6.31718,6.68927,1.838,1772,6878,thing,Cosmolancer,2,4,45,45,45,1994,"2,3,4","2,3",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
"Knock Down, Drag Out: The Wild West Fighting Game",71890,0,0,1,1,0,0,0,0,0,0,0,3,,,,,,10768872,0,5.32692,1.3333,0,50,thing,"Knock Down, Drag Out: The Wild West Fighting Game",3,10,15,15,15,2010,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Kung Fu Fighting,13172,0,0,3,1,0,0,0,0,0,0,0,3,,,,,,10543251,5.65691,6.11247,1.2955,7094,1221,thing,Kung Fu Fighting,2,6,30,30,30,2004,"2,3,4,5,6",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Lewis & Clark: The Expedition,140620,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,59468534,7.17846,7.43848,3.3218,317,20129,thing,Lewis & Clark: The Expedition,1,5,120,120,120,2013,"1,2,3,4",3,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Long Shot: The Dice Game,295374,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,108159133,7.13835,7.54689,1.942,352,17916,thing,Long Shot: The Dice Game,1,8,25,25,25,2022,"1,2,3,4,5,6,7,8","4,5",10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Mad Gab,764,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,27654136,5.28546,5.05542,1.2353,29437,4472,thing,Mad Gab,2,12,45,45,45,1996,"4,5,6,7,8,10,12","6,8",12+,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
Mars and Venus in Love Question Card Game,10112,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,27654124,0,5,1,0,15,thing,Mars and Venus in Love Question Card Game,2,2,10,10,10,1998,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Marvel Champions: The Card Game,285774,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81653862,7.79085,8.1094,2.949,47,46074,thing,Marvel Champions: The Card Game,1,4,90,90,45,2019,"1,2,3","1,2",12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Munchkin,1927,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,10837402,5.69237,5.87344,1.8167,6282,100174,thing,Munchkin,3,6,120,120,60,2001,"3,4,5,6",4,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Munchkin Marvel,189848,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,35247892,5.89113,6.78956,2.0952,3841,5139,thing,Munchkin Marvel,3,6,120,120,60,2016,"3,4,5,6","4,5",12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Pandemic,30549,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,10837392,7.41071,7.51973,2.3952,165,219771,thing,Pandemic,2,4,45,45,45,2008,"1,2,3,4",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
PARKS,266524,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,77691243,7.40923,7.62955,2.1197,167,52056,thing,PARKS,1,5,60,60,30,2019,"1,2,3,4",3,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Phase 10,1258,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,61384187,5.19868,5.2617,1.2571,29466,30260,thing,Phase 10,2,6,45,45,45,1982,"2,3,4,5",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Photosynthesis,218603,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,59210339,6.77385,6.93919,2.2616,780,42188,thing,Photosynthesis,2,4,60,60,30,2017,"2,3,4",3,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Pictionary: 15th Anniversary,27624,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,50543953,5.54096,6.21402,1.25,14140,437,thing,Pictionary: 15th Anniversary,3,16,90,90,90,2000,"8,9,10",9,,,,,,,,standalone,,,,,,,,,,,,,,,
Pictopia: Star Wars Edition,186442,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,61384191,5.5068,5.8364,1,22908,581,thing,Pictopia: Star Wars Edition,2,6,40,40,20,2015,"2,3,4,5,6","4,6",6+,,,,,,,standalone,,,,,,,,,,,,,,,
Pit,140,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,117900555,6.19233,6.40284,1.1527,2216,19228,thing,Pit,3,8,90,90,30,1903,"4,5,6,7,8","6,7,8",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Pizza Party,144579,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,61384100,5.46221,5.29818,1,28698,1332,thing,Pizza Party,2,2,10,10,5,2013,2,2,5+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Power Grid,2651,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,15531057,7.68515,7.80043,3.2487,73,85033,thing,Power Grid,2,6,120,120,120,2004,"3,4,5,6","4,5",12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Puerto Rico,3076,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,21570551,7.75646,7.90036,3.2682,52,84112,thing,Puerto Rico,3,5,150,150,90,2002,"2,3,4,5",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Puerto Rico 1897,367272,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,96182987,6.06879,7.64194,3,0,2337,thing,Puerto Rico 1897,2,5,120,120,70,2022,"2,3,4,5",4,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Quack in the Box,69904,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,27654076,5.50136,5.7,1.25,24458,84,thing,Quack in the Box,2,6,45,45,45,2010,"3,4,5","4,5",10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Qwirkle,25669,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,50543961,6.61283,6.77517,1.5829,1049,43011,thing,Qwirkle,2,4,45,45,45,2006,"2,3,4",4,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Raiders of the North Sea,170042,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,50553515,7.50443,7.7228,2.5741,130,34338,thing,Raiders of the North Sea,2,4,80,80,60,2015,"2,3,4",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Ransom Notes,349812,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,101152246,5.78936,6.58934,1.0476,4814,3078,thing,Ransom Notes,3,6,90,90,30,2021,"4,5,6","5,6",12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Red November,36946,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,10837400,6.08806,6.28832,2.072,2654,11687,thing,Red November,1,8,120,120,60,2008,"1,2,3,4,5,6",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Ren Faire,55706,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,10837427,5.47448,5.11739,1.1538,28208,427,thing,Ren Faire,2,4,60,60,60,2009,"3,4",3,5+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Richard Scarry's Busytown: Eye found it! Game,64220,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,27653939,5.71783,6.54301,1.1944,5792,1369,thing,Richard Scarry's Busytown: Eye found it! Game,2,4,20,20,20,2009,"2,3,4",4,3–8,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Ricochet Robots,51,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,18729883,6.70259,7.03771,2.3762,892,10403,thing,Ricochet Robots,1,99,30,30,30,1999,"1,2,3,4,5,6,7,8,9,10,11,12","3,4,5,6",10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Ruckus,19046,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,50543966,5.50794,5.61396,1,22551,776,thing,Ruckus,2,4,20,20,20,2005,"3,4",4,6–12,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Rummikub 8 Round Rummy,76353,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,17878234,0,4.79167,2,0,108,thing,Rummikub 8 Round Rummy,2,6,60,60,60,2010,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Sails of Glory,109291,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,34141169,6.13523,7.51148,2.939,2445,2459,thing,Sails of Glory,2,4,45,45,45,2013,"2,3,4","2,4",12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Santorini,194655,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,51166121,7.20116,7.34162,1.7219,298,64716,thing,Santorini,2,4,20,20,20,2016,"2,3",2,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Scene It? TV  Deluxe Edition,28509,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,27653967,0,5.21111,1,0,106,thing,Scene It? TV  Deluxe Edition,2,12,45,45,45,2006,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Scene It? Twilight Edition,61474,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,27653928,0,3.87857,1,0,187,thing,Scene It? Twilight Edition,2,12,45,45,45,2009,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Scrabble,320,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,50543972,6.14892,6.27242,2.0548,2380,69116,thing,Scrabble,2,4,90,90,90,1948,"2,3,4",2,10+,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
Sequence,2375,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,50543976,5.96043,6.16556,1.3158,3338,27960,thing,Sequence,2,12,30,30,10,1982,"2,3,4,6","3,4",6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Small World,40692,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,15531051,7.08939,7.19493,2.3467,400,102181,thing,Small World,2,5,80,80,40,2009,"2,3,4,5",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Smash Up,122522,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,21604235,6.51669,6.69498,2.062,1249,47536,thing,Smash Up,2,4,45,45,45,2012,"2,3,4",3,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Space Hulk: Death Angel – The Card Game,71721,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,12372229,6.74189,7.00581,2.4156,826,23861,thing,Space Hulk: Death Angel – The Card Game,1,6,60,60,30,2010,"1,2,3,4",1,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Spaceteam,184491,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,50543986,5.99099,6.57179,1.0714,3152,5601,thing,Spaceteam,3,6,5,5,5,2015,"4,5,6",6,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Splendor,148228,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,55630197,7.2921,7.41874,1.7777,237,132726,thing,Splendor,2,4,30,30,30,2014,"2,3,4",3,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Stamp Swap,426796,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,129316406,5.95831,6.98591,2.2069,3348,2514,thing,Stamp Swap,1,5,60,60,20,2024,"1,2,3,4,5",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Star Wars: Armada,163745,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,33786767,7.04094,7.81693,3.1588,444,11291,thing,Star Wars: Armada,2,2,120,120,120,2015,2,2,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Star Wars: X-Wing (Second Edition),252328,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,55633289,6.88443,8.0188,3.1029,627,7222,thing,Star Wars: X-Wing (Second Edition),2,2,45,45,30,2018,2,2,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Star Wars: X-Wing Miniatures Game,103885,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,17914325,7.36628,7.62638,2.4957,198,41367,thing,Star Wars: X-Wing Miniatures Game,2,2,45,45,30,2012,2,2,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Straw,22497,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,10837417,5.72438,6.22947,1.0395,5691,1516,thing,Straw,2,6,30,30,30,2006,"2,3,4,5,6",5,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Take Stock,20847,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,50544011,5.56039,5.83397,1.7922,11837,849,thing,Take Stock,2,6,60,60,60,2006,"2,3,4,5",4,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
The Big Idea,696,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,10838994,5.69855,6.28165,1.3191,6160,1399,thing,The Big Idea,3,6,45,45,45,2000,"3,4,5,6",6,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
The Game,173090,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,56942717,6.50218,6.71508,1.2373,1280,24379,thing,The Game,1,5,20,20,20,2015,"1,2,3,4,5",3,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
The Great Dalmuti,929,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,10837408,6.31055,6.59606,1.2847,1790,15435,thing,The Great Dalmuti,4,8,60,60,60,1995,"5,6,7,8","6,7",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
The Last Banquet,85394,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,50543949,5.48217,5.48669,1.875,27670,1481,thing,The Last Banquet,6,25,45,45,45,2012,"9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25","11,12,13,14,15,16",10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
The Simpsons: LOSER Takes All!,5129,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,27654087,5.41783,3.99608,1.3333,29221,381,thing,The Simpsons: LOSER Takes All!,2,6,30,30,30,2001,,"3,4",10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Third and Long: The Football Card Game,71889,0,0,3,1,0,0,0,0,0,0,0,3,,,,,,10543248,5.52121,6.56579,2.3333,18460,109,thing,Third and Long: The Football Card Game,2,2,60,60,60,2010,2,2,,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Three-Dragon Ante,20806,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,27653918,5.88772,6.48484,1.7279,3862,3157,thing,Three-Dragon Ante,2,6,20,20,20,2005,"3,4,5,6",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Thunder Road: Vendetta,342070,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,118906279,7.27336,7.91714,1.9615,247,10691,thing,Thunder Road: Vendetta,2,4,75,75,45,2023,"3,4",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Ticket to Ride,9209,0,0,2,1,0,0,0,0,0,0,0,3,,,,,,10547779,7.26405,7.38688,1.8212,251,143549,thing,Ticket to Ride,2,5,60,60,30,2004,"2,3,4,5",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Ticket to Ride: First Journey (U.S.),205125,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,50543994,6.1853,6.85441,1.4167,2243,8331,thing,Ticket to Ride: First Journey (U.S.),2,4,30,30,15,2016,"2,3,4","3,4",6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Tiny Towns,265736,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,129311358,6.99442,7.19161,2.0657,493,35117,thing,Tiny Towns,1,6,60,60,45,2019,"1,2,3,4,5",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
TMNT HeroClix: Mouser Mayhem Starter Set,198142,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,34154416,5.51238,6.41864,0,21141,188,thing,TMNT HeroClix: Mouser Mayhem Starter Set,2,2,0,0,0,2016,2,2,,,,,,,,standalone,,,,,,,,,,,,,,,
Toss Up!,14102,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,61384175,5.51617,5.69341,1.1143,19937,907,thing,Toss Up!,2,6,15,15,15,2004,"2,3,4,5,6","3,4",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Trails,338628,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86229885,6.46169,7.0339,1.8692,1383,13262,thing,Trails,2,4,40,40,20,2021,"2,3,4",2,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Trapper Keeper Game,285627,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,65597681,5.58008,6.43537,2,10291,632,thing,Trapper Keeper Game,2,5,25,25,25,2019,"2,3,4",3,,,,,,,,standalone,,,,,,,,,,,,,,,
Tribbles Customizable Card Game,3668,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,10838992,5.49575,5.58214,1.4375,25762,464,thing,Tribbles Customizable Card Game,2,4,30,30,30,2000,"3,4",4,8,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
TriBond Card Game,5427,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,17878203,5.48848,5.09302,1.25,26969,137,thing,TriBond Card Game,2,10,20,20,20,2000,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Trivial Pursuit: 20th Anniversary Edition,4492,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,27653898,5.36722,5.22295,1.7857,29360,3704,thing,Trivial Pursuit: 20th Anniversary Edition,2,6,180,180,180,2002,"2,3,4,5,6","4,6",12+,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
Trivial Pursuit: DVD – Pop Culture Game,8039,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,27654070,5.40747,4.99392,1.6,29259,1159,thing,Trivial Pursuit: DVD – Pop Culture Game,2,4,60,60,60,2003,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Trivial Pursuit: Genus IV,1299,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,27653905,5.48592,5.54751,1.7945,27285,2186,thing,Trivial Pursuit: Genus IV,2,6,90,90,90,1996,"2,3,4,5,6",4,16+,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
Trouble,1410,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,50544001,4.35324,3.86623,1.0692,29519,7975,thing,Trouble,2,4,45,45,45,1965,"2,3,4",4,4+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
UNO,2223,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,50544007,5.34836,5.47493,1.1011,29384,69286,thing,UNO,2,10,30,30,30,1971,"3,4,5,6,7,8","4,5,6",5+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
UNO Attack!,2818,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114478400,5.45187,5.50888,1.2105,28919,4255,thing,UNO Attack!,2,10,30,30,30,1999,"3,4,5,6,7,8","4,5",6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Viticulture Essential Edition,183394,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,50543083,7.81518,7.96553,2.8956,42,75350,thing,Viticulture Essential Edition,1,6,90,90,45,2015,"1,2,3,4,5","3,4",12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Wings of War: Burning Drachens,15953,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,10837388,6.07549,7.12941,1.954,2716,2812,thing,Wings of War: Burning Drachens,1,2,20,20,20,2005,2,2,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Wings of War: Famous Aces,9203,0,0,2,1,0,0,0,0,0,0,0,3,,,,,,10547783,6.37625,6.86051,1.7342,1610,5906,thing,Wings of War: Famous Aces,2,4,20,20,20,2004,"2,3,4",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Wings of War: Watch Your Back!,9910,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,21473607,6.13267,6.99097,1.7077,2457,3298,thing,Wings of War: Watch Your Back!,2,4,20,20,20,2005,"2,3,4",4,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Wingspan,266192,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,59210291,7.85671,8.00865,2.4754,38,170464,thing,Wingspan,1,5,70,70,40,2019,"1,2,3,4",3,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Yahtzee,2243,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,27653989,5.48171,5.53667,1.1738,27726,33541,thing,Yahtzee,2,10,30,30,30,1956,"2,3,4,5,6","3,4",6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,24231.32468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,230147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
